ID: 1106324898283171841, retweet: 0
ID: 1106347509251756032, retweet: 0
ID: 1106512451158208513, retweet: 0
ID: 1105950421682671616, retweet: 0
ID: 1106579759411183616, retweet: 0
ID: 1106141801696645121, retweet: 0
ID: 1106026572643885057, retweet: 0
ID: 1106448762086391808, retweet: 0
ID: 1105967513358225408, retweet: 0
ID: 1106253719342059523, retweet: 1
ID: 1106471409591578624, retweet: 0
ID: 1105967089423126530, retweet: 1
ID: 1106109717875580928, retweet: 0
ID: 1106166292267057152, retweet: 0
ID: 1106498545928949760, retweet: 0
ID: 1106094317809123329, retweet: 1
ID: 1106285943579906053, retweet: 0
ID: 1106234709858750464, retweet: 0
ID: 1106246106663583746, retweet: 0
ID: 1106392845416431619, retweet: 1
ID: 1106626478190587909, retweet: 39
ID: 1106622823026622465, retweet: 0
ID: 1106290215566471168, retweet: 0
ID: 1106369066128818178, retweet: 0
ID: 1106421385096658945, retweet: 0
ID: 1106543838695325696, retweet: 1
ID: 1106642063775485952, retweet: 0
ID: 1106050586032648193, retweet: 0
ID: 1106420579547123713, retweet: 20
ID: 1105966619715485704, retweet: 0
ID: 1106401222943215616, retweet: 4
ID: 1106309823723962370, retweet: 0
ID: 1106329019979649025, retweet: 0
ID: 1106703450828619777, retweet: 0
ID: 1106096776497516544, retweet: 1
ID: 1106595606435373057, retweet: 0
ID: 1106392682828578816, retweet: 0
ID: 1106676770747629568, retweet: 0
ID: 1106656356843569153, retweet: 0
ID: 1106457123242852352, retweet: 2
ID: 1106510338780860416, retweet: 6
ID: 1106325052797136897, retweet: 0
ID: 1105985130676535296, retweet: 0
ID: 1106642139105165312, retweet: 0
ID: 1106230628318674944, retweet: 0
ID: 1106214700864413703, retweet: 0
ID: 1106601348739616768, retweet: 1
ID: 1106443457533345792, retweet: 0
ID: 1106169083295207424, retweet: 0
ID: 1106486850313732096, retweet: 2
ID: 1105946558321868807, retweet: 0
ID: 1106049190747090944, retweet: 0
ID: 1106284874288238599, retweet: 0
ID: 1106068803471831043, retweet: 0
ID: 1106143184608997386, retweet: 0
ID: 1105988533494431745, retweet: 0
ID: 1106387459510816778, retweet: 0
ID: 1106614171234390016, retweet: 0
ID: 1106304096896716812, retweet: 0
ID: 1106374762262159361, retweet: 0
ID: 1105955063741087745, retweet: 0
ID: 1106635330323570688, retweet: 1
ID: 1106589474748805120, retweet: 0
ID: 1106448659556777985, retweet: 0
ID: 1106467147956445184, retweet: 0
ID: 1106322499233636352, retweet: 0
ID: 1106214720074338305, retweet: 0
ID: 1106058846642987008, retweet: 11
ID: 1106683499468095488, retweet: 0
ID: 1106590924203835393, retweet: 0
ID: 1106060660759158784, retweet: 2
ID: 1106600973806551041, retweet: 0
ID: 1106642520925265920, retweet: 0
ID: 1106193727180210176, retweet: 0
ID: 1106298201676660736, retweet: 2
ID: 1106624099797950471, retweet: 0
ID: 1105996549052686339, retweet: 0
ID: 1106041501480452096, retweet: 0
ID: 1106463577110708224, retweet: 0
ID: 1106282941259362306, retweet: 0
ID: 1106426026958045184, retweet: 0
ID: 1106572358020669440, retweet: 0
ID: 1106184531592138753, retweet: 0
ID: 1106689975163117569, retweet: 0
ID: 1106334630200950785, retweet: 1
ID: 1106594863728996353, retweet: 1
ID: 1106360048781914112, retweet: 1
ID: 1106653186981543941, retweet: 1
ID: 1106338007081279488, retweet: 1
ID: 1106640773712367617, retweet: 0
ID: 1106335745013223424, retweet: 0
ID: 1106225267310292993, retweet: 0
ID: 1106368559616122880, retweet: 0
ID: 1106413216698032128, retweet: 0
ID: 1106529980534665216, retweet: 0
ID: 1106248116385337347, retweet: 0
ID: 1106479440677101568, retweet: 0
ID: 1106143419682963456, retweet: 0
ID: 1106350613451821056, retweet: 0
ID: 1106591607468494848, retweet: 0
ID: 1106015801633468416, retweet: 0
ID: 1106642712667799552, retweet: 0
ID: 1106448841623158784, retweet: 0
ID: 1105939584515563522, retweet: 0
ID: 1106324440013402112, retweet: 0
ID: 1106370223593148416, retweet: 1
ID: 1106029093987016704, retweet: 0
ID: 1106401514258608128, retweet: 2
ID: 1106200397113225217, retweet: 0
ID: 1106676579940352000, retweet: 0
ID: 1106141183095521280, retweet: 0
ID: 1106679433459585030, retweet: 0
ID: 1106643167384875008, retweet: 0
ID: 1106238853415882758, retweet: 0
ID: 1106188505112367104, retweet: 0
ID: 1106642181362728960, retweet: 0
ID: 1106601752160292864, retweet: 0
ID: 1106185957915549696, retweet: 0
ID: 1105983598426050560, retweet: 0
ID: 1106167718120689664, retweet: 0
ID: 1106275610077417472, retweet: 0
ID: 1106274264469196801, retweet: 9
ID: 1106336245645369344, retweet: 0
ID: 1105952174092148736, retweet: 0
ID: 1106368549814181888, retweet: 1
ID: 1106369606149652480, retweet: 0
ID: 1106128075303997440, retweet: 0
ID: 1106172515574038529, retweet: 0
ID: 1106425650997399554, retweet: 0
ID: 1106143013569474560, retweet: 2
ID: 1106423049849434112, retweet: 1
ID: 1106266568088911872, retweet: 0
ID: 1106248071351021568, retweet: 0
ID: 1106514336644775936, retweet: 0
ID: 1106259367266000896, retweet: 0
ID: 1106259425206198272, retweet: 0
ID: 1106691001433886720, retweet: 5
ID: 1106026202614120449, retweet: 0
ID: 1106376554706141184, retweet: 0
ID: 1106262655973629953, retweet: 0
ID: 1106638285210877954, retweet: 0
ID: 1106387120837586949, retweet: 0
ID: 1106108904893759488, retweet: 0
ID: 1106617660962299904, retweet: 0
ID: 1106577802374103040, retweet: 0
ID: 1106373441257725952, retweet: 2
ID: 1106268862235004928, retweet: 0
ID: 1106419034801782784, retweet: 0
ID: 1106284292878020608, retweet: 0
ID: 1106658654671917057, retweet: 0
ID: 1106252466591391744, retweet: 0
ID: 1106266626536734724, retweet: 0
ID: 1106643899702018050, retweet: 0
ID: 1106314626583744519, retweet: 0
ID: 1105953104011321344, retweet: 0
ID: 1106630841348837376, retweet: 4
ID: 1106294798481264640, retweet: 0
